"id","age","height","weight","sex"
1,67,166,69,"male"
2,28,153,61,"female"
3,133,180,91,"male"
4,51,177,89,"male"
5,93,176,98,"male"
6,23,171,78,"male"
7,57,159,65,"female"
8,103,160,62,"female"
9,15,151,76,"female"
10,23,174,68,"male"
11,53,168,72,"male"
12,32,159,71,"female"
13,61,164,77,"male"
14,30,163,72,"male"
15,55,157,57,"female"
16,38,176,74,"male"
17,38,162,70,"female"
18,75,166,62,"female"
19,44,160,82,"female"
20,27,167,63,"female"
21,33,155,69,"female"
22,44,158,63,"female"
23,44,161,68,"female"
24,24,175,53,"male"
25,18,177,68,"male"
26,25,173,82,"male"
27,40,157,78,"female"
28,41,159,49,"female"
29,27,160,62,"female"
30,22,154,60,"female"
31,42,153,64,"female"
32,36,156,59,"female"
33,20,158,55,"female"
34,44,171,77,"male"
35,83,173,89,"male"
36,21,170,70,"female"
37,33,148,81,"female"
38,70,161,58,"female"
39,103,173,65,"male"
40,20,170,54,"female"
41,79,157,50,"female"
42,41,154,73,"female"
43,20,167,70,"male"
44,121,184,71,"male"
45,34,173,80,"male"
46,43,163,58,"female"
47,50,168,86,"male"
48,68,161,68,"male"
49,33,168,61,"female"
50,67,154,47,"female"
51,56,158,60,"female"
52,30,182,66,"male"
53,52,162,46,"male"
54,49,177,69,"male"
55,17,192,61,"male"
56,93,159,58,"female"
57,15,180,73,"male"
58,18,146,66,"female"
59,46,151,49,"female"
60,23,165,60,"male"
61,36,154,76,"male"
62,37,167,62,"male"
63,118,153,52,"female"
64,20,178,62,"male"
65,65,166,72,"male"
66,30,156,66,"female"
67,20,177,69,"male"
68,32,168,48,"female"
69,32,167,74,"male"
70,53,170,74,"male"
71,30,176,61,"male"
72,27,166,67,"male"
73,24,168,63,"female"
74,51,156,65,"female"
75,42,170,70,"male"
76,36,164,85,"male"
77,81,168,51,"female"
78,20,159,69,"male"
79,26,172,64,"male"
80,77,164,59,"female"
81,31,154,53,"female"
82,20,167,71,"male"
83,70,163,86,"male"
84,58,157,68,"female"
85,18,157,71,"female"
86,27,185,87,"male"
87,83,171,76,"male"
88,75,174,66,"male"
89,65,169,58,"female"
90,43,154,67,"female"
91,18,158,39,"female"
92,19,177,47,"male"
93,70,162,62,"female"
94,16,161,51,"female"
95,35,160,99,"male"
96,15,155,57,"female"
97,38,172,61,"male"
98,32,167,75,"female"
99,68,160,97,"male"
100,64,174,61,"male"
101,45,158,93,"male"
102,58,158,71,"female"
103,47,172,74,"male"
104,85,166,83,"male"
105,53,173,79,"male"
106,55,165,63,"female"
107,129,152,63,"female"
108,23,178,59,"male"
109,27,166,81,"male"
110,87,165,60,"female"
111,89,158,64,"female"
112,57,151,55,"female"
113,16,153,56,"female"
114,38,170,66,"male"
115,15,160,60,"female"
116,46,157,63,"female"
117,52,163,53,"female"
118,38,175,53,"male"
119,59,162,91,"male"
120,88,179,70,"male"
121,42,173,76,"male"
122,28,160,73,"female"
123,34,162,61,"female"
124,83,171,73,"male"
125,38,146,51,"female"
126,29,158,53,"female"
127,59,155,59,"female"
128,27,177,95,"male"
129,30,171,88,"male"
130,39,147,73,"female"
131,35,168,77,"female"
132,63,161,64,"female"
133,21,158,56,"female"
134,58,157,54,"female"
135,45,175,78,"male"
136,39,155,68,"female"
137,129,170,81,"male"
138,51,175,70,"male"
139,75,154,72,"female"
140,25,171,74,"male"
141,66,163,65,"female"
142,33,157,67,"female"
143,40,171,73,"male"
144,54,170,58,"male"
145,74,176,75,"male"
146,39,154,74,"female"
147,21,170,67,"male"
148,43,171,66,"female"
149,77,164,57,"female"
150,26,170,81,"male"
151,62,156,56,"female"
152,49,165,89,"male"
153,48,167,77,"female"
154,38,170,86,"male"
155,33,169,68,"male"
156,28,161,59,"female"
157,35,174,89,"male"
158,97,175,75,"male"
159,31,169,49,"female"
160,35,159,38,"female"
161,41,169,78,"male"
162,37,170,67,"male"
163,63,157,56,"male"
164,21,166,79,"male"
165,22,182,73,"male"
166,71,168,47,"female"
167,74,159,65,"male"
168,23,161,78,"male"
169,76,161,55,"female"
170,51,151,52,"female"
171,83,155,64,"female"
172,41,175,60,"male"
173,28,166,72,"male"
174,24,160,64,"female"
175,69,171,77,"male"
176,32,172,56,"female"
177,66,170,74,"male"
178,49,149,81,"female"
179,75,164,54,"male"
180,37,158,60,"female"
181,37,176,78,"male"
182,24,164,68,"male"
183,26,168,72,"male"
184,18,188,71,"male"
185,94,164,59,"female"
186,84,170,53,"male"
187,72,165,72,"female"
188,24,161,58,"female"
189,17,161,64,"female"
190,52,156,61,"female"
191,47,169,68,"female"
192,38,155,54,"female"
193,66,163,58,"female"
194,90,167,44,"male"
195,55,167,88,"male"
196,29,161,54,"male"
197,21,169,60,"male"
198,18,162,59,"female"
199,89,169,60,"male"
200,36,178,85,"male"
201,61,167,77,"female"
202,30,159,66,"female"
203,77,154,84,"female"
204,30,169,71,"male"
205,58,170,59,"female"
206,47,156,78,"female"
207,53,162,71,"female"
208,40,160,88,"female"
209,95,163,58,"male"
210,41,164,67,"male"
211,17,171,79,"male"
212,34,165,69,"male"
213,43,177,84,"male"
214,91,161,73,"female"
215,37,167,74,"female"
216,29,168,74,"male"
217,65,154,56,"female"
218,84,170,55,"female"
219,28,159,91,"male"
220,26,157,50,"female"
221,21,163,92,"male"
222,36,158,48,"female"
223,75,174,57,"male"
224,33,157,73,"female"
225,36,155,66,"female"
226,68,153,67,"female"
227,16,155,52,"female"
228,61,160,61,"female"
229,63,157,52,"female"
230,66,180,75,"male"
231,54,166,75,"female"
232,16,169,76,"male"
233,37,172,56,"female"
234,102,166,18,"female"
235,43,174,59,"male"
236,49,179,76,"male"
237,42,172,79,"male"
238,23,169,87,"male"
239,39,164,74,"male"
240,31,174,71,"male"
241,75,184,54,"male"
242,97,177,75,"male"
243,94,154,63,"female"
244,34,151,62,"female"
245,37,160,72,"female"
246,19,165,61,"female"
247,28,160,73,"male"
248,27,177,63,"male"
249,41,165,53,"female"
250,52,155,66,"male"
251,47,189,75,"male"
252,83,152,75,"female"
253,52,174,83,"male"
254,30,168,88,"male"
255,100,174,68,"male"
256,16,155,55,"female"
257,61,163,54,"female"
258,15,178,65,"male"
259,40,151,70,"female"
260,76,162,60,"female"
261,16,154,71,"female"
262,75,162,82,"male"
263,46,162,58,"male"
264,15,158,75,"female"
265,37,147,71,"female"
266,20,180,66,"male"
267,30,158,77,"female"
268,39,158,66,"female"
269,25,156,43,"female"
270,78,158,68,"female"
271,22,174,65,"male"
272,56,170,84,"male"
273,21,167,54,"female"
274,36,160,45,"female"
275,33,161,51,"female"
276,66,160,54,"female"
277,56,167,65,"male"
278,67,161,42,"female"
279,16,182,85,"male"
280,47,171,75,"male"
281,69,175,74,"male"
282,61,162,57,"female"
283,35,161,88,"female"
284,23,174,74,"male"
285,73,168,79,"female"
286,54,153,59,"female"
287,37,157,64,"female"
288,33,166,61,"female"
289,22,171,48,"female"
290,94,164,70,"female"
291,89,156,78,"female"
292,41,157,75,"male"
293,16,165,91,"male"
294,26,172,60,"male"
295,142,149,64,"female"
296,19,154,54,"female"
297,36,164,55,"female"
298,29,160,63,"female"
299,75,167,55,"female"
300,15,153,68,"female"
301,54,166,58,"male"
302,28,166,51,"female"
303,28,172,85,"male"
304,23,152,71,"female"
305,41,164,51,"female"
306,26,154,71,"female"
307,33,154,56,"female"
308,62,150,60,"female"
309,30,174,59,"male"
310,38,173,50,"male"
311,36,173,79,"male"
312,47,176,82,"male"
313,78,167,86,"male"
314,85,165,90,"male"
315,82,164,81,"female"
316,16,159,69,"male"
317,30,170,73,"male"
318,39,168,76,"male"
319,95,162,55,"female"
320,47,181,73,"male"
321,36,159,64,"female"
322,51,155,63,"female"
323,32,156,48,"female"
324,51,166,70,"male"
325,15,168,68,"female"
326,36,166,64,"female"
327,32,167,96,"male"
328,22,164,68,"male"
329,29,164,59,"female"
330,81,154,83,"male"
331,15,163,67,"female"
332,89,147,62,"female"
333,65,181,77,"male"
334,27,160,56,"female"
335,33,161,63,"female"
336,15,169,67,"male"
337,41,165,86,"male"
338,67,159,81,"female"
339,53,164,37,"female"
340,33,172,56,"male"
341,34,169,61,"male"
342,66,161,90,"male"
343,89,159,64,"female"
344,52,161,62,"male"
345,54,172,74,"male"
346,62,160,42,"female"
347,27,155,59,"female"
348,25,156,63,"female"
349,23,165,65,"male"
350,93,161,83,"male"
351,37,161,59,"female"
352,45,168,62,"female"
353,23,169,71,"female"
354,42,171,58,"male"
355,49,173,62,"male"
356,36,159,57,"male"
357,29,156,57,"female"
358,16,159,66,"female"
359,54,159,50,"female"
360,36,157,76,"male"
361,25,159,75,"male"
362,32,174,68,"male"
363,90,163,60,"female"
364,44,159,57,"female"
365,43,176,70,"male"
366,34,169,71,"female"
367,60,156,55,"female"
368,112,153,56,"female"
369,66,160,83,"female"
370,91,162,59,"female"
371,21,174,62,"female"
372,62,168,65,"male"
373,28,157,95,"male"
374,108,163,57,"female"
375,62,164,70,"male"
376,97,156,74,"female"
377,19,157,71,"female"
378,42,153,52,"female"
379,22,154,74,"female"
380,19,158,60,"female"
381,58,163,51,"female"
382,40,164,58,"female"
383,28,170,71,"male"
384,45,165,70,"male"
385,61,169,77,"female"
386,29,163,58,"female"
387,32,154,57,"female"
388,34,160,73,"male"
389,42,152,72,"female"
390,58,156,59,"female"
391,93,159,63,"female"
392,30,176,82,"male"
393,39,153,64,"female"
394,38,173,79,"male"
395,42,165,91,"female"
396,35,163,80,"male"
397,40,169,49,"female"
398,28,148,73,"female"
399,15,165,63,"male"
400,70,153,67,"female"
401,26,157,61,"female"
402,34,167,70,"male"
403,24,154,55,"male"
404,83,169,61,"female"
405,38,172,83,"male"
406,74,177,88,"male"
407,92,157,46,"female"
408,32,167,68,"male"
409,35,161,81,"female"
410,56,163,64,"female"
411,89,171,49,"male"
412,33,172,73,"male"
413,36,185,77,"male"
414,51,177,64,"male"
415,73,145,65,"female"
416,81,168,69,"male"
417,28,160,69,"male"
418,26,171,59,"male"
419,33,174,50,"female"
420,44,160,70,"female"
421,45,171,80,"female"
422,51,162,64,"female"
423,33,161,70,"female"
424,39,168,76,"male"
425,65,168,60,"male"
426,36,159,59,"female"
427,98,161,49,"female"
428,46,167,49,"female"
429,18,159,62,"male"
430,17,161,72,"male"
431,15,153,60,"female"
432,40,156,88,"male"
433,43,165,53,"male"
434,23,169,61,"female"
435,41,166,74,"male"
436,102,155,54,"female"
437,40,166,70,"female"
438,89,154,68,"female"
439,19,183,64,"male"
440,17,163,60,"female"
441,43,156,82,"female"
442,34,159,59,"female"
443,20,170,58,"female"
444,59,161,68,"male"
445,84,156,66,"female"
446,46,170,71,"male"
447,36,175,73,"male"
448,26,165,62,"male"
449,16,153,66,"female"
450,102,168,64,"male"
451,37,159,78,"female"
452,36,153,60,"female"
453,74,164,53,"female"
454,56,158,70,"female"
455,49,175,76,"male"
456,24,161,65,"male"
457,49,170,47,"male"
458,54,169,59,"male"
459,65,173,66,"male"
460,60,165,87,"male"
461,70,151,77,"female"
462,39,175,69,"male"
463,31,154,49,"female"
464,52,165,86,"female"
465,65,153,47,"female"
466,74,164,69,"female"
467,65,159,69,"female"
468,22,169,59,"male"
469,69,158,60,"female"
470,40,155,47,"female"
471,41,169,84,"male"
472,99,157,57,"female"
473,30,166,86,"male"
474,90,167,58,"male"
475,70,165,51,"female"
476,43,164,62,"female"
477,55,174,54,"male"
478,25,185,58,"male"
479,67,170,100,"male"
480,33,158,68,"female"
481,120,151,69,"female"
482,77,164,71,"female"
483,29,169,74,"male"
484,35,161,66,"female"
485,59,162,76,"female"
486,73,171,72,"male"
487,76,168,73,"male"
488,19,160,66,"female"
489,17,159,69,"male"
490,68,170,83,"male"
491,89,155,76,"female"
492,31,153,60,"male"
493,72,155,77,"female"
494,45,169,87,"male"
495,53,153,78,"female"
496,39,176,67,"male"
497,58,162,80,"female"
498,24,169,70,"female"
499,26,171,41,"male"
500,60,169,80,"male"
501,59,156,50,"female"
502,32,165,79,"male"
503,21,168,61,"male"
504,63,163,50,"female"
505,110,162,82,"male"
506,39,166,68,"female"
507,94,159,84,"male"
508,51,179,71,"male"
509,18,167,64,"male"
510,38,179,68,"male"
511,80,179,84,"male"
512,57,169,61,"male"
513,29,157,63,"female"
514,103,154,74,"female"
515,26,173,68,"male"
516,48,156,54,"female"
517,114,179,83,"male"
518,32,175,95,"male"
519,34,169,72,"male"
520,62,165,51,"female"
521,51,177,45,"male"
522,86,156,56,"female"
523,19,159,31,"female"
524,28,168,52,"female"
525,18,154,68,"female"
526,45,154,43,"female"
527,58,176,67,"male"
528,68,186,72,"male"
529,82,154,76,"female"
530,41,161,48,"male"
531,42,158,46,"female"
532,22,153,55,"female"
533,21,163,51,"female"
534,70,153,92,"male"
535,93,174,71,"male"
536,76,173,86,"male"
537,37,181,80,"male"
538,27,174,71,"male"
539,66,151,66,"female"
540,23,184,67,"male"
541,38,165,72,"male"
542,19,165,59,"female"
543,70,180,85,"male"
544,35,179,94,"male"
545,94,162,59,"male"
546,98,167,74,"female"
547,45,173,68,"male"
548,50,179,68,"male"
549,43,170,64,"male"
550,35,170,85,"male"
551,36,172,59,"male"
552,32,162,66,"female"
553,32,178,62,"male"
554,63,169,79,"female"
555,93,182,80,"male"
556,34,156,56,"female"
557,97,162,46,"female"
558,63,158,56,"female"
559,25,171,81,"male"
560,36,144,49,"female"
561,38,176,82,"male"
562,63,154,57,"female"
563,54,160,58,"female"
564,42,145,73,"female"
565,82,169,79,"female"
566,34,162,56,"female"
567,38,162,69,"female"
568,58,168,66,"male"
569,88,155,49,"female"
570,72,156,74,"female"
571,27,167,65,"male"
572,33,166,67,"female"
573,33,163,60,"male"
574,29,164,66,"female"
575,25,156,53,"female"
576,80,156,64,"male"
577,104,176,67,"female"
578,60,157,63,"female"
579,37,163,66,"female"
580,82,167,61,"female"
581,136,166,69,"female"
582,40,159,45,"female"
583,45,166,44,"female"
584,29,161,66,"female"
585,37,161,74,"female"
586,28,169,63,"male"
587,19,160,61,"female"
588,31,158,62,"female"
589,68,159,49,"female"
590,42,170,53,"female"
591,33,165,45,"female"
592,77,153,44,"female"
593,53,169,58,"male"
594,32,164,77,"male"
595,39,158,63,"female"
596,23,166,56,"male"
597,56,166,58,"male"
598,24,162,55,"female"
599,31,166,85,"male"
600,37,167,67,"male"
601,34,160,56,"female"
602,18,170,85,"male"
603,45,164,79,"male"
604,23,159,70,"female"
605,43,158,46,"female"
606,133,156,78,"female"
607,60,166,70,"male"
608,38,173,54,"female"
609,86,161,59,"female"
610,57,169,55,"female"
611,32,178,54,"male"
612,71,157,77,"female"
613,95,159,61,"female"
614,32,172,73,"male"
615,20,154,50,"female"
616,35,165,80,"male"
617,29,158,82,"male"
618,90,163,71,"male"
619,45,162,62,"female"
620,55,171,84,"male"
621,15,165,76,"male"
622,51,166,72,"male"
623,38,166,57,"female"
624,44,158,67,"female"
625,59,183,55,"male"
626,16,169,64,"male"
627,54,166,50,"male"
628,59,156,65,"female"
629,70,158,49,"female"
630,39,169,77,"male"
631,22,152,62,"female"
632,65,151,56,"female"
633,31,161,55,"female"
634,55,166,70,"male"
635,44,163,74,"female"
636,43,167,67,"female"
637,45,165,80,"male"
638,30,159,85,"male"
639,15,172,40,"female"
640,57,148,55,"female"
641,37,159,58,"female"
642,84,178,51,"male"
643,32,165,45,"female"
644,75,161,73,"male"
645,84,170,67,"female"
646,44,173,67,"male"
647,24,164,60,"male"
648,53,166,67,"female"
649,104,174,66,"female"
650,22,153,91,"female"
651,36,168,46,"female"
652,41,159,50,"female"
653,71,151,65,"female"
654,29,167,68,"male"
655,49,175,88,"male"
656,73,169,78,"male"
657,32,153,67,"female"
658,94,176,80,"male"
659,38,177,57,"male"
660,54,163,62,"female"
661,49,164,69,"male"
662,38,161,79,"female"
663,36,168,61,"male"
664,22,173,75,"male"
665,23,163,46,"male"
666,31,178,83,"male"
667,34,173,79,"male"
668,27,165,58,"female"
669,28,173,74,"male"
670,35,176,56,"female"
671,76,170,72,"female"
672,23,151,89,"female"
673,104,153,42,"female"
674,35,175,67,"male"
675,75,154,78,"female"
676,22,151,62,"female"
677,49,164,68,"male"
678,38,176,99,"male"
679,28,154,65,"female"
680,50,169,55,"female"
681,47,151,72,"female"
682,37,159,96,"male"
683,73,155,54,"female"
684,32,155,53,"female"
685,24,173,63,"male"
686,68,154,51,"female"
687,39,163,70,"female"
688,39,154,37,"female"
689,34,168,75,"male"
690,48,182,75,"male"
691,84,166,84,"male"
692,30,152,46,"female"
693,42,161,68,"female"
694,43,173,69,"male"
695,88,174,95,"male"
696,55,155,73,"female"
697,80,158,59,"female"
698,31,169,73,"female"
699,43,181,57,"male"
700,37,164,48,"female"
701,35,163,90,"male"
702,48,169,63,"female"
703,41,155,45,"female"
704,15,167,51,"female"
705,27,157,56,"female"
706,51,153,66,"female"
707,85,165,74,"male"
708,36,167,62,"female"
709,41,170,58,"male"
710,47,160,72,"female"
711,52,146,59,"female"
712,60,176,90,"male"
713,32,174,85,"male"
714,74,162,61,"male"
715,45,178,82,"male"
716,18,154,63,"female"
717,94,176,97,"male"
718,26,153,65,"female"
719,31,158,60,"female"
720,34,165,74,"male"
721,32,159,51,"female"
722,41,168,69,"male"
723,81,152,72,"female"
724,20,166,57,"male"
725,31,167,56,"male"
726,21,163,71,"male"
727,113,157,66,"female"
728,23,175,60,"male"
729,48,164,77,"male"
730,39,154,81,"male"
731,63,166,66,"male"
732,72,160,47,"female"
733,27,161,69,"male"
734,25,164,69,"male"
735,48,159,53,"female"
736,24,163,70,"female"
737,66,163,59,"female"
738,61,160,79,"female"
739,48,160,61,"female"
740,34,162,54,"male"
741,43,168,60,"male"
742,68,167,76,"female"
743,28,155,56,"female"
744,84,162,56,"female"
745,32,176,79,"male"
746,66,181,63,"male"
747,36,170,46,"female"
748,32,161,66,"male"
749,84,170,64,"male"
750,73,174,93,"male"
751,34,168,60,"male"
752,32,172,69,"male"
753,76,167,79,"male"
754,69,157,73,"female"
755,26,154,66,"female"
756,33,154,55,"female"
757,35,162,63,"female"
758,17,160,40,"female"
759,43,164,83,"male"
760,38,154,63,"female"
761,49,162,42,"female"
762,74,170,78,"male"
763,23,177,67,"male"
764,47,168,87,"male"
765,36,163,68,"male"
766,81,169,55,"female"
767,40,173,71,"male"
768,42,186,63,"male"
769,19,145,76,"female"
770,105,178,82,"male"
771,21,157,70,"female"
772,40,160,55,"female"
773,42,150,79,"female"
774,99,160,57,"female"
775,25,154,50,"female"
776,15,178,80,"male"
777,69,173,64,"male"
778,36,155,55,"female"
779,24,172,74,"male"
780,57,173,72,"male"
781,50,161,74,"female"
782,36,155,72,"female"
783,77,174,87,"male"
784,20,172,58,"male"
785,40,155,55,"female"
786,38,153,60,"female"
787,34,166,73,"male"
788,79,159,56,"male"
789,98,157,38,"female"
790,40,158,58,"female"
791,37,159,54,"female"
792,85,159,74,"female"
793,57,169,69,"female"
794,73,158,48,"female"
795,55,171,38,"female"
796,45,167,67,"female"
797,33,172,95,"male"
798,22,146,64,"female"
799,34,168,75,"male"
800,24,159,58,"female"
801,32,157,59,"female"
802,67,173,69,"male"
803,61,150,61,"female"
804,33,161,81,"male"
805,27,167,67,"female"
806,80,183,88,"male"
807,54,173,82,"male"
808,20,152,48,"female"
809,49,160,55,"female"
810,16,168,44,"female"
811,51,158,82,"male"
812,36,165,77,"male"
813,73,166,77,"male"
814,30,161,63,"female"
815,70,158,55,"male"
816,70,184,65,"male"
817,28,154,79,"female"
818,41,168,83,"male"
819,52,177,84,"male"
820,22,159,62,"female"
821,26,185,79,"male"
822,26,169,70,"female"
823,25,150,57,"female"
824,25,158,72,"female"
825,17,170,73,"male"
826,35,167,86,"male"
827,66,154,76,"male"
828,22,171,76,"male"
829,27,160,81,"female"
830,93,163,80,"male"
831,45,159,75,"male"
832,15,158,54,"female"
833,51,165,67,"male"
834,51,175,46,"male"
835,86,156,65,"female"
836,58,175,73,"male"
837,76,162,42,"female"
838,35,163,71,"male"
839,38,159,59,"male"
840,58,177,65,"male"
841,56,163,68,"male"
842,35,164,74,"male"
843,16,160,46,"female"
844,37,157,38,"female"
845,40,158,56,"female"
846,49,162,64,"male"
847,42,170,63,"female"
848,25,176,91,"male"
849,52,173,72,"male"
850,47,164,69,"male"
851,21,168,78,"male"
852,23,160,80,"male"
853,40,162,62,"female"
854,50,167,61,"male"
855,27,158,72,"female"
856,63,160,71,"male"
857,72,160,60,"female"
858,71,159,70,"female"
859,37,151,57,"female"
860,33,169,70,"male"
861,29,166,65,"female"
862,41,168,72,"male"
863,44,168,70,"male"
864,76,176,84,"male"
865,26,165,83,"male"
866,68,175,80,"male"
867,39,170,70,"female"
868,43,157,51,"female"
869,17,169,68,"male"
870,57,160,53,"female"
871,73,191,79,"male"
872,97,160,51,"female"
873,50,179,67,"male"
874,40,169,74,"male"
875,54,170,54,"male"
876,18,163,73,"female"
877,57,170,81,"male"
878,74,164,49,"female"
879,55,164,57,"female"
880,33,162,89,"male"
881,49,179,70,"male"
882,72,158,53,"female"
883,18,161,49,"female"
884,99,154,52,"female"
885,19,177,61,"male"
886,69,160,80,"male"
887,22,161,56,"female"
888,33,167,84,"male"
889,32,151,59,"female"
890,52,165,73,"female"
891,32,168,83,"male"
892,34,157,60,"male"
893,61,157,64,"female"
894,75,157,73,"female"
895,23,163,48,"female"
896,53,169,32,"female"
897,82,170,55,"female"
898,27,177,71,"male"
899,23,176,76,"male"
900,65,181,96,"male"
901,49,178,92,"male"
902,39,160,74,"male"
903,89,177,77,"male"
904,33,162,68,"male"
905,35,162,68,"female"
906,33,173,64,"female"
907,36,166,64,"female"
908,31,163,36,"female"
909,37,163,68,"male"
910,40,179,85,"male"
911,28,155,57,"female"
912,72,159,61,"female"
913,40,162,56,"female"
914,19,173,71,"male"
915,57,161,95,"female"
916,20,163,71,"female"
917,29,164,43,"female"
918,25,161,60,"female"
919,50,169,100,"male"
920,27,175,61,"male"
921,36,158,70,"female"
922,56,161,61,"female"
923,66,164,79,"female"
924,26,164,57,"male"
925,54,175,71,"male"
926,76,181,66,"male"
927,22,165,41,"female"
928,28,161,52,"female"
929,77,163,58,"female"
930,78,160,55,"female"
931,35,175,70,"male"
932,71,160,58,"female"
933,84,162,77,"female"
934,18,161,86,"male"
935,43,164,50,"female"
936,19,163,63,"male"
937,94,165,78,"female"
938,97,161,64,"female"
939,53,173,64,"male"
940,51,160,72,"female"
941,35,166,60,"male"
942,82,160,47,"female"
943,37,169,58,"female"
944,42,170,83,"male"
945,31,182,62,"male"
946,34,165,72,"female"
947,24,176,66,"male"
948,23,170,68,"male"
949,61,170,91,"male"
950,56,174,64,"male"
951,25,178,63,"male"
952,34,179,59,"male"
953,66,154,58,"female"
954,43,180,73,"male"
955,27,179,76,"male"
956,32,169,68,"male"
957,15,184,87,"male"
958,96,164,51,"female"
959,57,150,40,"female"
960,104,157,50,"female"
961,44,160,85,"male"
962,42,168,57,"male"
963,39,171,62,"female"
964,55,166,77,"female"
965,55,165,88,"male"
966,68,166,56,"female"
967,16,152,39,"female"
968,48,164,66,"male"
969,48,174,56,"male"
970,52,164,62,"female"
971,78,158,75,"female"
972,54,171,62,"male"
973,53,162,59,"male"
974,39,161,74,"male"
975,26,175,90,"male"
976,32,167,61,"female"
977,35,163,29,"female"
978,46,166,50,"female"
979,37,179,73,"male"
980,62,172,44,"female"
981,41,169,59,"female"
982,32,156,62,"female"
983,45,179,66,"male"
984,86,175,64,"male"
985,49,187,87,"male"
986,27,166,83,"male"
987,20,173,88,"male"
988,100,187,64,"male"
989,42,166,58,"female"
990,35,180,60,"male"
991,85,166,62,"female"
992,46,168,67,"female"
993,91,152,69,"female"
994,24,152,55,"female"
995,56,156,48,"female"
996,89,164,67,"male"
997,55,159,48,"male"
998,93,169,87,"male"
999,72,157,76,"male"
1000,44,156,82,"female"
